"file","cast","date","station_id","latitude","longitude","instrumentType"
"1977.nc",64,1977-01-12,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",1033,1977-03-17,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",1463,1977-04-13,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",2717,1977-05-17,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",3845,1977-06-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",4933,1977-07-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",6195,1977-08-18,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",7383,1977-09-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",8296,1977-10-13,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1977.nc",9946,1977-11-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",51,1978-01-13,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",351,1978-02-09,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",1343,1978-03-16,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",1829,1978-04-10,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",3044,1978-05-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",4679,1978-06-14,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",6144,1978-07-12,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",8063,1978-08-16,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",9468,1978-09-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",10737,1978-10-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",12411,1978-11-15,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1978.nc",13289,1978-12-14,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
"1979.nc",117,1979-01-16,"Prince-5",44.9333000183105,-66.8499984741211,"BO"
