id,No_jars,Preservative,Larvae_Count,Notes
SB2021-01,1,4% formalin + limestone buffer,10,
SB2021-02,1,4% formalin + limestone buffer,18,
SB2021-03,1,4% formalin + limestone buffer,141,
SB2021-04,1,4% formalin + limestone buffer,8,
SB2021-05,1,4% formalin + limestone buffer,11,
SB2021-06,1,4% formalin + limestone buffer,35,
SB2021-07,1,4% formalin + limestone buffer,183,
SB2021-08,1,4% formalin + limestone buffer,8,
SB2021-09,1,4% formalin + limestone buffer,7,
SB2021-10,1,4% formalin + limestone buffer,8,
SB2021-11,1,4% formalin + limestone buffer,8,
SB2021-12,1,4% formalin + limestone buffer,6,
SB2021-13,1,4% formalin + limestone buffer,8,
SB2021-14,1,4% formalin + limestone buffer,130,
SB2021-15,1,4% formalin + limestone buffer,93,
GB2021-01,1,4% formalin + limestone buffer,66,
GB2021-02,1,4% formalin + limestone buffer,86,
GB2021-03,1,4% formalin + limestone buffer,1,
GB2021-04,2,4% formalin + limestone buffer,4,
GB2021-05,1,4% formalin + limestone buffer,6,
GB2021-06,1,4% formalin + limestone buffer,5,
GB2021-07,1,4% formalin + limestone buffer,8,
GB2021-08,1,4% formalin + limestone buffer,9,
GB2021-09,1,4% formalin + limestone buffer,60,
GB2021-10,1,4% formalin + limestone buffer,77,
SB2020-01,1,4% formalin + limestone buffer,73,
SB2020-02,1,4% formalin + limestone buffer,82,
SB2020-03,1,4% formalin + limestone buffer,76,
SB2020-04,1,4% formalin + limestone buffer,74,
SB2020-05,1,4% formalin + limestone buffer,NA,not sorted due to condition
SB2020-06,1,4% formalin + limestone buffer,NA,not sorted due to condition
SB2020-07,1,4% formalin + limestone buffer,NA,not sorted due to condition
SB2020-08,1,4% formalin + limestone buffer,NA,not sorted due to condition
SB2020-09,2,4% formalin + limestone buffer,NA,not sorted due to condition
SB2020-10,2,4% formalin + limestone buffer,NA,not sorted due to condition
SB2020-13,1,4% formalin + limestone buffer,276,appear to be mostly herring
SB2020-14,1,4% formalin + limestone buffer,148,v. soft. Still measurable but pigment required for ID may be lacking
GB2020-01,1,4% formalin + limestone buffer,0,"no larvae, but many fish eggs"
GB2020-02,1,4% formalin + limestone buffer,NA,not sorted due to condition
GB2020-03,3,4% formalin + limestone buffer,NA,not sorted due to condition
GB2020-04,2,4% formalin + limestone buffer,NA,not sorted due to condition
GB2020-05,2,4% formalin + limestone buffer,NA,not sorted due to condition
GB2020-06,1,4% formalin + limestone buffer,0,"no larvae, very few eggs"
GB2020-07,1,4% formalin + limestone buffer,1,
SB2019-01,2,70% Alcohol,11,
SB2019-02,1,70% Alcohol,2,
SB2019-03,1,70% Alcohol,10,
SB2019-04,1,70% Alcohol,25,
SB2019-05,1,70% Alcohol,51,
SB2019-06,1,70% Alcohol,16,
SB2019-07,1,70% Alcohol,5,
SB2019-08,1,70% Alcohol,2,
SB2019-09,1,70% Alcohol,0,External label SB2019 08 Internal label SB2019-09
GB2019-01,2,70% Alcohol,NA,Rotten did not sort
GB2019-02,2,70% Alcohol,NA,Rotten did not sort
SB2019-10,1,70% Alcohol,0,Fish pieces
SB2019-11,1,70% Alcohol,3,
GB2019-03,2,70% Alcohol,0,
GB2019-04,2,70% Alcohol,1,
GB2019-05,1,4% Formalin,9,
GB2019-06,1,70% Alcohol,15,
SB2019-12,1,4% Formalin,29,
SB2019-13,1,70% Alcohol,77,
GB2019-07,1,4% Formalin,1,
GB2019-08,1,70% Alcohol,3,
GB2019-09,1,70% Alcohol,1,
GB2019-10,1,70% Alcohol,0,
SI2019-01,1,4% Formalin,27,
SI2019-02,1,70% Alcohol,9,
SB2018-01,1,4% Formalin,26,
SB2018-02 ,1,4% Formalin,24,
SB2018-03,2,4% Formalin,4,
SB2018-04,1,4% Formalin,0,
SB2018-05,1,4% Formalin,44,
SB2018-06,1,4% Formalin,7,
SB2018-07,1,4% Formalin,17,
SB2018-08,1,4% Formalin,45,
SB2018-09,1,4% Formalin,NA,
SB2018-10,1,4% Formalin,3,
SB2018-11,1,4% Formalin,0,
GB2018-01,1,4% Formalin,0,
GB2018-03,1,4% Formalin,0,
GB2018-04 ,1,4% Formalin,3,
GB2017-01,1,4% Formalin,4,
GB2017-03,1,4% Formalin,22,
GB2017-04,1,4% Formalin,5,
