Vessel,Start Lat,Start Lon,End Lat,End Lon
V1,43.56666667,-66.24,43.56666667,-66.24
V2,43.56666667,-66.2630303,43.56666667,-66.2630303
V3,43.56666667,-66.28606061,43.56666667,-66.28606061
V4,43.56666667,-66.30909091,43.56666667,-66.30909091
V5,43.56666667,-66.33212121,43.56666667,-66.33212121
V6,43.56666667,-66.35515152,43.56666667,-66.35515152
V1,43.56666667,-66.37818182,43.56666667,-66.37818182
V2,43.56666667,-66.40121212,43.56666667,-66.40121212
V3,43.56666667,-66.42424242,43.56666667,-66.42424242
V4,43.56666667,-66.44727273,43.56666667,-66.44727273
V5,43.56666667,-66.47030303,43.56666667,-66.47030303
V6,43.56666667,-66.49333333,43.56666667,-66.49333333
V1,43.502,-66.125,43.502,-66.125
V2,43.502,-66.146,43.502,-66.146
V3,43.502,-66.167,43.502,-66.167
V4,43.502,-66.188,43.502,-66.188
V5,43.502,-66.209,43.502,-66.209
V6,43.502,-66.23,43.502,-66.23
