Plant,Date,Method ,Harvest_Site,Boat,bait,small,med,large
Sea Life,23-May-18,1,The Patch,Lady Melissa,,,8.2,
Sea Life,23-May-18,1,The Patch,Lady Melissa,,,5.2,
Sea Life,23-May-18,1,The Patch,Lady Melissa,,,7.4,
Sea Life,23-May-18,1,The Patch,Lady Melissa,,,6,
Sea Life,23-May-18,1,The Patch,Lady Melissa,,,9,
Sea Life,23-May-18,1,The Patch,Lady Melissa,,9.2,,
Sea Life,23-May-18,1,The Patch,Lady Melissa,,9.6,,
Sea Life,23-May-18,1,The Patch,Lady Melissa,,8.2,,
Sea Life,23-May-18,1,The Patch,Sealife II,,8.6,,
Sea Life,23-May-18,1,The Patch,Sealife II,,8.2,,
Sea Life,23-May-18,1,The Patch,Sealife II,,8.2,,
Sea Life,23-May-18,1,The Patch,Sealife II,,,5.6,
Sea Life,23-May-18,1,The Patch,Sealife II,,,4.8,
Sea Life,23-May-18,1,The Patch,Sealife II,,,8.2,
Sea Life,23-May-18,1,The Patch,Sealife II,,,6,
Sea Life,23-May-18,1,The Patch,Sealife II,,,5.4,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,9.6,,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,10.8,,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,11,,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,10.8,,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,11.8,,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,7,,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,,7.6,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,,7,
Sea Life,28-May-18,1,The Patch,Lady Melissa,,,,
Sea Life,28-May-18,1,The Patch,Sealife II,,7.6,,
Sea Life,28-May-18,1,The Patch,Sealife II,,7.8,,
Sea Life,28-May-18,1,The Patch,Sealife II,,5,,
Sea Life,28-May-18,1,The Patch,Sealife II,,8,,
Sea Life,28-May-18,1,The Patch,Sealife II/Lady Melissa,,10.6,,
Sea Life,28-May-18,1,The Patch,Sealife II/Lady Melissa,,,9.8,
Sea Life,28-May-18,1,The Patch,Sealife II/Lady Melissa,,,6.8,
Sea Life,28-May-18,1,The Patch,Sealife II/Lady Melissa,,,9,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,10.6,,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,9.2,,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,11,,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,9.6,,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,8.2,,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,9.6,,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,,8.6,
Sea Life,29-May-18,1,The Patch,Lady Melissa,,,5.6,
Sea Life,29-May-18,1,The Patch,Sealife II,,8.2,,
Sea Life,29-May-18,1,The Patch,Sealife II,,13.4,,
Sea Life,29-May-18,1,The Patch,Sealife II,,10.4,,
Sea Life,29-May-18,1,The Patch,Sealife II,,,6.8,
Sea Life,29-May-18,1,The Patch,Sealife II,,,12,
Sea Life,29-May-18,1,The Patch,Sealife II,,,7.4,
Sea Life,29-May-18,1,The Patch,Sealife II,,,7.6,
Sea Life,29-May-18,1,The Patch,Sealife II,,,10,
Sea Life,31-May-18,1,The Patch,Lady Melissa,,8.2,,
Sea Life,31-May-18,1,The Patch,Lady Melissa,,8.6,,
Sea Life,31-May-18,1,The Patch,Lady Melissa,,13.6,,
Sea Life,31-May-18,1,The Patch,Lady Melissa,,,5.4,
Sea Life,31-May-18,1,The Patch,Sealife II,,8.8,,
Sea Life,31-May-18,1,The Patch,Sealife II,,9.4,,
Sea Life,31-May-18,1,The Patch,Sealife II,,9.4,,
Sea Life,31-May-18,1,The Patch,Sealife II,,6.8,,
Sea Life,31-May-18,1,The Patch,Sealife II,,6.4,,
Sea Life,31-May-18,1,The Patch,Sealife II,,6.2,,
Sea Life,31-May-18,1,The Patch,Sealife II,,10.2,,
Sea Life,31-May-18,1,The Patch,Sealife II,,,9.2,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,10.4,,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,,9.8,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,,10,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,,12,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,,12.4,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,,12.6,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,,7.6,
Sea Life,02-Jun-18,1,The Patch,Lady Melissa,,,4.6,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,8.8,,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,11.4,,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,14.6,,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,14.6,,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,11.6,,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,8.2,,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,,10.6,
Sea Life,02-Jun-18,1,The Patch,Sealife II,,,8.6,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,13,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,10.2,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,11.4,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,13.8,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,12.6,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,8.5,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,12.2,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,10.8,,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,,12.8,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,,14,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,,7.8,
Sea Life,07-Jun-18,1,The Patch,Lady Melissa,,,11.2,
Sea Life,08-Jun-18,1,The Patch,Lady Melissa,,11.8,,
Sea Life,08-Jun-18,1,The Patch,Lady Melissa,,10.8,,
Sea Life,08-Jun-18,1,The Patch,Lady Melissa,,12.6,,
Sea Life,08-Jun-18,1,The Patch,Lady Melissa,,,11.2,
Sea Life,08-Jun-18,1,The Patch,Sealife II,,8.6,,
Sea Life,08-Jun-18,1,The Patch,Sealife II,,,16,
Sea Life,08-Jun-18,1,The Patch,Sealife II,,,15.2,
Sea Life,08-Jun-18,1,The Patch,Sealife II,,,7.4,
Sea Life,08-Jun-18,1,The Patch,Sealife II/Lady Melissa,,11,,
Sea Life,08-Jun-18,1,The Patch,Sealife II/Lady Melissa,,12.4,,
Sea Life,08-Jun-18,1,The Patch,Sealife II/Lady Melissa,,8.8,,
Sea Life,08-Jun-18,1,The Patch,Sealife II/Lady Melissa,,8.8,,
Sea Life,10-Jun-18,1,The Patch,Lady Melissa,,13.8,,
Sea Life,10-Jun-18,1,The Patch,Lady Melissa,,13,,
Sea Life,10-Jun-18,1,The Patch,Lady Melissa,,12.6,,
Sea Life,10-Jun-18,1,The Patch,Lady Melissa,,11,,
Sea Life,10-Jun-18,1,The Patch,Sealife II,,11.2,,
Sea Life,11-Jun-18,1,The Patch,Sealife II,,14.8,,
Sea Life,10-Jun-18,1,The Patch,Sealife II,,10,,
Sea Life,10-Jun-18,1,The Patch,Sealife II,,14.8,,
Sea Life,10-Jun-18,1,The Patch,Sealife II,,12.2,,
