Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
MS,45.03636667,-65.23333333,45.21621667,-64.68106667
FM,45.05084444,-65.23333333,45.22682222,-64.69705926
LB,45.06532222,-65.23333333,45.23742778,-64.71305185
LJ,45.0798,-65.23333333,45.24803333,-64.72904444
LM,45.09427778,-65.23333333,45.25863889,-64.74503704
MS,45.10875556,-65.23333333,45.26924444,-64.76102963
FM,45.12323333,-65.23333333,45.27985,-64.77702222
LB,45.13771111,-65.23333333,45.29045556,-64.79301481
LJ,45.15218889,-65.23333333,45.30106111,-64.80900741
LM,45.16666667,-65.23333333,45.31166667,-64.825
