"","Ground","id","Date","Survey.No","No_jars","Abundance","Lengthmm","category","MinLength","MaxLength","MeanLength","SD","Larv_per_jar","Density","hatchDate","MINspawnDate","MAXspawnDate","Julian","JulianMin","JulianMax","LastLength","Day","Month","Year","Condition","Yolk_sac","Preservative","ARC_Count","ARC_Notes","X","Y","TowTime","AvgTowDepth","MaxTowDepth","CTDTemp","CTDSalinity","Volume"
"1","SB","SB2021-15",2021-09-26,"10",1,4,18.28,"4",14.62,18.28,16.2875,1.64971462178564,4,NA,2021-09-16,2021-07-22,2021-06-10,269,203,161,19.96,26,9,"2021","G",NA,"4% formalin",93,NA,-65.205,45.0425,11,19.6,30.8,NA,NA,NA
"2","SB","SB2021-15",2021-09-26,"10",1,4,16.95,"3",14.62,18.28,16.2875,1.64971462178564,4,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,18.63,26,9,"2021","G",NA,"4% formalin",93,NA,-65.205,45.0425,11,19.6,30.8,NA,NA,NA
"3","SB","SB2021-15",2021-09-26,"10",1,4,15.3,"3",14.62,18.28,16.2875,1.64971462178564,4,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.98,26,9,"2021","G",NA,"4% formalin",93,NA,-65.205,45.0425,11,19.6,30.8,NA,NA,NA
"4","SB","SB2021-15",2021-09-26,"10",1,4,14.62,"3",14.62,18.28,16.2875,1.64971462178564,4,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.3,26,9,"2021","G",NA,"4% formalin",93,NA,-65.205,45.0425,11,19.6,30.8,NA,NA,NA
"5","SB","SB2021-14",2021-09-26,"10",1,23,14.78,"3",12.09,17.36,14.374347826087,1.41026053713798,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.46,26,9,"2021","G",NA,"4% formalin",130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA
"6","SB","SB2021-14",2021-09-26,"10",1,23,12.58,"2",12.09,17.36,14.374347826087,1.41026053713798,23,NA,2021-09-16,2021-09-02,2021-08-12,269,245,224,14.26,26,9,"2021","G",NA,"4% formalin",130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA
"7","SB","SB2021-14",2021-09-26,"10",1,23,14.22,"3",12.09,17.36,14.374347826087,1.41026053713798,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,15.9,26,9,"2021","G",NA,"4% formalin",130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA
"8","SB","SB2021-14",2021-09-26,"10",1,23,12.35,"2",12.09,17.36,14.374347826087,1.41026053713798,23,NA,2021-09-16,2021-09-02,2021-08-12,269,245,224,14.03,26,9,"2021","G",NA,"4% formalin",130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA
"9","SB","SB2021-14",2021-09-26,"10",1,23,14.69,"3",12.09,17.36,14.374347826087,1.41026053713798,23,NA,2021-09-16,2021-08-12,2021-07-22,269,224,203,16.37,26,9,"2021","G",NA,"4% formalin",130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA
"10","SB","SB2021-14",2021-09-26,"10",1,23,12.71,"2",12.09,17.36,14.374347826087,1.41026053713798,23,NA,2021-09-16,2021-09-02,2021-08-12,269,245,224,14.39,26,9,"2021","G",NA,"4% formalin",130,NA,-65.2085,45.0253,12,11.3,18.3,NA,NA,NA
